n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,train_accuracy,val_accuracy,train_val_gap
50,20.0,2,4,,balanced,0.9808558558558559,0.6236559139784946,0.35719994187736126
50,20.0,2,4,,,0.972972972972973,0.6021505376344086,0.3708224353385644
50,20.0,2,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,20.0,2,6,sqrt,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,20.0,2,6,log2,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,20.0,2,6,log2,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,20.0,2,6,,balanced,0.9493243243243243,0.6129032258064516,0.3364210985178727
50,20.0,2,6,,,0.9425675675675675,0.5913978494623656,0.3511697181052019
50,20.0,2,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,20.0,2,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,20.0,2,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,20.0,2,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,20.0,2,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,20.0,2,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,20.0,5,1,sqrt,balanced,1.0,0.6075268817204301,0.3924731182795699
50,20.0,5,1,sqrt,,0.9977477477477478,0.6129032258064516,0.38484452194129615
50,20.0,5,1,log2,balanced,1.0,0.6075268817204301,0.3924731182795699
50,20.0,5,1,log2,,0.9977477477477478,0.6129032258064516,0.38484452194129615
50,20.0,5,1,,balanced,0.9988738738738738,0.5967741935483871,0.4020996803254867
50,20.0,5,1,,,0.9988738738738738,0.6182795698924731,0.3805943039814007
50,20.0,5,2,sqrt,balanced,0.9932432432432432,0.6021505376344086,0.3910927056088346
50,20.0,5,2,sqrt,,0.9921171171171171,0.6559139784946236,0.3362031386224935
50,20.0,5,2,log2,balanced,0.9932432432432432,0.6021505376344086,0.3910927056088346
50,20.0,5,2,log2,,0.9921171171171171,0.6559139784946236,0.3362031386224935
50,20.0,5,2,,balanced,0.9954954954954955,0.6505376344086021,0.3449578610868934
50,20.0,5,2,,,0.9954954954954955,0.6129032258064516,0.3825922696890439
50,20.0,5,4,sqrt,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,20.0,5,4,sqrt,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,20.0,5,4,log2,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,20.0,5,4,log2,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,20.0,5,4,,balanced,0.9808558558558559,0.6236559139784946,0.35719994187736126
